BID,RP_norm,RP_area_raw,SPLIT_SEQ,Area_Mult,RP_area_adjusted,RP_area_pctile,SolarAcMEAN,AspectMEANBID,aspect_north_factor,combined_solar,solar_risk,solar_push,RP_solar_only,SlopeMEAN50ft,slope_risk,slope_push,wetland_push,RP_final,RP_S_norm,RP_S_area_raw,RP_S_area_adjusted,RP_S_area_pctile,RP_S_final,CI,zone_count,water_type,SpringChinookRID,salmon_present,salmon_species,Fish_simple,SR_Zone,PADUS_Manager,Manager_Category,BFW,BFW_class,is_hmz,Priority_Tier,Zoning_Group,CITY_UGA,COUNTY_NM,temp_impaired,temp_impaired_cat,fecal_impaired,fecal_impaired_cat,sediment_impaired,sediment_impaired_cat,any_impaired,qc_poly_count,qc_dom_domain,qc_pct_D1,qc_mean_M,qc_mean_D,qc_mean_C,qc_mean_I,qc_mean_I_S
AC470_2,32.02,51609687.0,2,1.0,51609687.0,70.3,1051.1,172.8,-0.538,768.5,0.125,0.38,32.4,,0.5,0.64,0.0,33.04,31.9,51423903.0,51423903.0,69.8,32.92,23.0,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,27,D1_Forest,77.9,0.661,0.119,0.99,0.57,0.572
AC470_3,24.49,24821013.0,3,1.25,31026267.0,54.5,1051.1,11.6,0.098,1102.7,0.861,1.91,26.4,,0.5,0.46,0.0,26.86,24.2,24517405.0,30646756.0,53.8,26.54,14.3,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,15,D1_Forest,100.0,0.639,0.116,0.97,0.555,0.559
AC470_4,18.69,1805412.0,4,1.25,2256765.0,8.1,1051.1,325.0,0.179,1145.4,0.91,1.46,20.15,14.65,0.411,0.27,0.0,20.42,18.47,1793170.0,2241463.0,8.0,20.18,1.6,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,5,D1_Forest,100.0,0.747,0.281,0.984,0.655,0.659
AC471_1,24.68,3177453.0,1,0.5,1588727.0,6.4,1048.0,179.0,-0.672,695.9,0.055,0.12,24.8,38.24,0.835,0.78,0.0,25.58,24.21,3114165.0,1557082.0,6.2,25.09,1.6,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,7,D1_Forest,100.0,0.691,0.031,0.995,0.551,0.56
AC471_3,35.42,10201121.0,3,1.25,12751401.0,29.8,1048.0,319.3,0.052,1075.1,0.819,2.83,38.25,21.46,0.58,0.83,0.0,39.08,35.44,10205260.0,12756574.0,29.5,39.1,11.5,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,10,D1_Forest,95.5,0.383,0.125,,0.333,0.328
AC471_4,25.64,29234.0,4,1.25,36543.0,0.3,1048.0,138.9,-0.74,660.0,0.035,0.08,25.72,,0.5,0.49,0.0,26.21,25.09,28607.0,35759.0,0.2,25.65,0.1,1,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,1,D1_Forest,100.0,0.664,0.009,0.994,0.534,0.544
AC472_1,29.04,113253.0,1,0.5,56627.0,0.5,1037.8,96.9,-0.076,998.5,0.636,1.73,30.77,32.24,0.761,0.86,0.0,31.63,27.96,109051.0,54525.0,0.5,30.44,0.2,1,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,2,D1_Forest,100.0,0.592,0.006,0.875,0.472,0.492
AC472_3,32.87,2342958.0,3,1.25,2928697.0,9.7,1037.8,346.3,0.326,1207.1,0.954,3.01,35.88,29.52,0.722,0.95,0.0,36.83,31.48,2231924.0,2789905.0,9.3,35.24,3.3,2,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,3,D1_Forest,100.0,0.527,0.001,0.745,0.408,0.436
AC472_4,20.07,2564402.0,4,1.25,3205503.0,10.3,1037.8,208.8,-0.473,792.4,0.155,0.27,20.34,48.44,0.918,0.67,0.0,21.01,19.96,2551375.0,3189218.0,10.2,20.89,2.1,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,6,D1_Forest,100.0,0.829,0.131,0.997,0.635,0.637
AC473_1,25.74,19366392.0,1,0.5,9683196.0,24.0,1052.0,47.0,0.508,1319.0,0.989,2.33,28.07,54.41,0.952,0.93,0.0,29.0,24.99,18773317.0,9386659.0,23.3,28.14,6.6,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,15,D1_Forest,100.0,0.672,0.008,0.972,0.53,0.545
