BID,asp,af
T1146_2,184.2,-0.742
T1147_2,169.2,-0.621
AC128_2,259.9,-0.051
AC123_4,319.2,0.436
T1110_1,41.4,0.561
T1110_2,271.5,0.022
T1144_1,283.9,0.108
AC166_3,126.0,-0.419
T1136_1,29.7,0.312
T1137_2,352.8,0.631
T6044_1,332.1,0.568
T1151_2,302.5,0.273
AC122_3,326.5,0.394
AC121_2,335.9,0.308
T1148_2,240.2,-0.269
T1148_1,344.4,0.25
T1137_1,27.9,0.297
T1151_1,119.4,-0.092
T6044_2,282.1,0.117
AC130_1,186.1,-0.446
AC124_2,206.1,-0.211
AC166_4,125.9,-0.476
AC132_1,9.2,0.49
AC164_4,291.2,0.133
T1155_1,91.4,-0.014
AC121_3,273.4,0.021
T6054_2,117.1,-0.185
T1138_2,253.8,-0.182
T1138_1,340.1,0.441
AC131_2,231.0,-0.211
T6034_1,45.4,0.305
AC122_1,260.4,-0.047
T6034_2,353.7,0.345
AC123_3,254.5,-0.083
T1153_2,333.1,0.405
AC121_4,176.3,-0.547
AC128_3,224.4,-0.369
T1155_2,160.1,-0.549
AC166_7,253.5,-0.03
AC165_1,324.3,0.307
T1154_2,309.9,0.259
AC164_3,268.5,-0.006
T6053_2,261.5,-0.075
AC133_1,263.3,-0.027
AC134_1,19.3,0.165
AC121_1,208.4,-0.336
AC166_5,139.7,-0.416
AC135_4,317.7,0.157
T6050_2,279.3,0.035
T6050_1,29.7,0.594
T6053_1,174.6,-0.746
AC132_2,309.3,0.162
AC132_3,224.2,-0.329
T6055_1,15.3,0.743
T6056_1,104.7,-0.119
T6056_2,169.2,-0.54
AC161_4,331.5,0.553
AC120_3,307.4,0.176
AC162_1,309.6,0.156
AC163_3,289.2,0.11
T1154_1,227.3,-0.236
T1176_2,253.1,-0.174
AC166_6,263.7,-0.014
T6057_2,321.6,0.615
T6054_1,142.1,-0.494
AC166_8,179.3,-0.404
AC135_1,40.8,0.333
T1153_1,203.4,-0.267
AC165_2,313.2,0.105
T1176_1,198.4,-0.515
T1162_1,81.2,0.105
T1172_1,148.4,-0.486
AC120_1,253.1,-0.094
AC123_2,197.3,-0.512
T1156_2,267.7,-0.014
AC122_2,180.2,-0.606
T6057_1,271.9,0.015
AC133_3,230.9,-0.429
AC133_2,274.6,0.016
T6055_2,295.0,0.266
T1172_2,254.2,-0.109
T1165_1,118.2,-0.317
T1164_1,148.5,-0.554
T6048_2,5.9,0.515
T1156_1,232.8,-0.385
T1165_2,193.9,-0.628
AC161_3,302.6,0.085
T6048_1,57.8,0.315
T1175_2,284.9,0.162
T1159_2,338.3,0.229
T6058_1,168.6,-0.453
AC162_4,182.7,-0.785
AC161_1,189.9,-0.725
T6040_1,13.7,0.624
AC134_3,296.6,0.118
AC119_1,166.2,-0.796
AC163_1,184.1,-0.546
AC164_2,185.5,-0.381
AC134_2,188.2,-0.976
AC134_4,201.5,-0.804
AC190_4,269.2,-0.002
AC162_2,208.7,-0.362
AC161_2,219.2,-0.218
AC135_2,278.6,0.032
T6058_2,227.1,-0.262
T1166_1,340.9,0.712
T1131_2,290.3,0.243
T1175_1,191.8,-0.588
T1149_2,289.3,0.215
T6059_1,345.9,0.725
AC163_2,237.0,-0.098
T1149_1,26.7,0.635
T1131_1,26.2,0.56
T1170_2,327.2,0.271
AC162_3,281.6,0.089
T6063_1,220.4,-0.465
T1160_1,207.4,-0.524
T1160_2,225.7,-0.497
T1167_1,199.4,-0.542
T6060_1,129.7,-0.391
T17581_1,174.1,-0.674
T6051_2,288.9,0.217
T6051_1,3.4,0.707
T6040_2,309.4,0.352
T1161_2,150.6,-0.636
T6060_2,139.2,-0.584
T1162_2,165.7,-0.718
AC165_3,206.6,-0.544
T1161_1,142.7,-0.539
T1163_2,8.5,0.729
AC136_1,17.3,0.555
