BID,asp,af
T10682_1,9.3,0.702
T3200_2,333.1,0.346
T10878_2,21.1,0.5
AC348_2,255.1,-0.045
AC461_2,164.5,-0.175
T3216_2,331.1,0.642
T15187_1,359.5,0.837
T3216_1,38.7,0.411
T10931_2,333.0,0.567
T10931_1,35.8,0.455
T3247_2,355.8,0.451
T3247_1,27.3,0.595
AC465_3,264.6,-0.019
AC235_1,359.8,0.174
T3206_1,240.9,-0.054
T3199_1,40.5,0.413
T10897_2,353.4,0.372
T3199_2,276.8,0.064
T3207_1,63.0,0.154
T3186_2,358.4,0.335
T10984_2,323.9,0.24
T3207_2,309.8,0.242
AC460_4,306.2,0.256
T10896_1,332.8,0.694
AC350_3,300.0,0.097
AC459_2,337.7,0.793
T10845_2,327.9,0.143
T10760_1,5.6,0.14
T11028_2,262.5,-0.069
T10847_1,31.3,0.585
T10842_1,12.0,0.625
T3229_2,20.7,0.645
T10619_2,301.2,0.082
T16956_2,14.4,0.234
T10619_1,318.9,0.094
T11007_1,321.7,0.372
AC340_2,179.6,-0.894
T10895_1,54.6,0.241
T10895_2,228.3,-0.258
T10978_2,237.8,-0.411
T10878_1,2.0,0.266
T10845_1,34.5,0.158
AC348_4,215.6,-0.787
T15187_2,279.3,0.076
T10996_2,88.3,0.011
T14667_2,322.0,0.552
T10886_1,2.4,0.81
AC465_2,284.9,0.015
AC344_3,186.1,-0.911
T3201_1,309.4,0.136
AC466_4,5.9,0.188
AC460_3,273.3,0.01
T10999_1,23.6,0.739
T3163_2,341.5,0.291
T14666_1,225.1,-0.06
T10916_1,319.8,0.191
AC462_2,59.3,0.112
L323_1,14.0,0.354
T3201_2,343.9,0.201
T10848_2,295.4,0.063
T3159_2,292.3,0.155
AC464_1,319.2,0.122
AC466_1,63.6,0.242
T11017_2,154.8,-0.348
T10914_2,336.3,0.703
T10848_1,257.4,-0.005
T14932_1,47.6,0.565
T10893_1,357.0,0.297
T14932_2,325.6,0.55
T3159_1,19.0,0.215
T14675_1,24.0,0.146
AC315_1,127.6,-0.337
T15292_1,52.6,0.348
T10932_1,15.8,0.607
T11011_2,283.1,0.078
T15185_1,1.8,0.676
T16976_1,171.1,-0.399
T10951_1,135.6,-0.617
T15186_1,244.1,-0.096
T15185_2,288.0,0.091
T10896_2,304.5,0.413
T10888_1,301.9,0.426
T10865_1,69.3,0.13
T10969_1,27.9,0.292
T11027_2,3.3,0.258
T3229_1,96.4,-0.02
T10916_2,187.3,-0.317
T11026_1,341.1,0.162
T14667_1,181.4,-0.227
T11027_1,340.5,0.213
T11017_1,43.0,0.268
T10867_2,149.3,-0.589
AC353_4,334.0,0.313
T3208_2,238.9,-0.269
T3208_1,353.8,0.207
T17888_2,125.4,-0.043
T11014_2,287.5,0.178
T3198_2,281.5,0.047
T11007_2,318.1,0.352
T10899_2,238.0,-0.174
T10899_1,28.8,0.248
L321_1,20.3,0.375
AC462_1,56.2,0.298
T3197_1,358.4,0.565
T17006_2,294.3,0.213
T17006_1,41.3,0.468
L323_7,313.2,0.068
AC353_1,294.6,0.08
T10818_1,263.5,-0.026
T10891_1,326.5,0.361
T10914_1,212.9,-0.074
T10876_1,219.1,-0.307
T10921_1,324.0,0.125
T10886_2,286.1,0.08
AC465_1,180.9,-0.15
T10972_2,324.2,0.132
T10987_1,330.9,0.137
T10987_2,325.0,0.193
AC460_1,110.9,-0.017
T10951_2,155.0,-0.572
T3217_1,346.4,0.109
T3217_2,265.0,-0.026
T17886_2,317.7,0.267
T3220_2,205.6,-0.717
T3223_1,78.9,0.146
L321_2,70.7,0.048
T10760_2,335.3,0.1
T11032_2,337.3,0.629
T16956_1,239.3,-0.098
T3220_1,182.3,-0.957
T11021_2,302.2,0.398
T11021_1,10.1,0.69
T3186_1,35.4,0.395
T3223_2,263.4,-0.028
AC467_1,66.5,0.233
AC355_1,276.3,0.025
T15716_2,321.7,0.153
T15716_1,11.5,0.168
AC466_2,226.0,-0.062
T10918_2,17.4,0.542
T3197_2,327.1,0.204
T10674_2,2.8,0.881
T10894_1,81.3,0.017
AC459_4,317.3,0.37
T10913_1,14.1,0.591
T10913_2,3.8,0.568
T11028_1,207.6,-0.767
T10894_2,289.3,0.044
T15292_2,185.7,-0.639
T10847_2,3.5,0.806
T10888_2,292.7,0.269
T15915_2,260.8,-0.041
T10932_2,249.4,-0.288
T11042_1,58.4,0.166
AC467_2,113.7,-0.021
T15915_1,156.4,-0.067
T11014_1,224.0,-0.588
T3234_2,76.8,0.067
T10999_2,223.9,-0.065
T10843_2,351.3,0.352
AC319_2,314.7,0.312
T10843_1,118.9,-0.182
T10890_2,321.0,0.124
T14675_2,246.1,-0.04
T10890_1,6.7,0.145
T10881_1,6.7,0.204
AC317_2,23.9,0.446
T15490_2,9.7,0.724
T10897_1,132.6,-0.264
T3163_1,34.9,0.274
T10984_1,144.2,-0.403
AC277_4,343.0,0.331
T15184_2,325.3,0.186
T10927_1,22.8,0.517
T15184_1,351.2,0.322
T10966_1,336.4,0.763
AC459_3,281.9,0.019
T11011_1,177.3,-0.299
T10927_2,346.1,0.554
T10839_1,289.6,0.082
T10834_1,30.6,0.226
AC348_1,189.4,-0.904
T10944_1,41.1,0.352
T3226_2,250.9,-0.127
AC279_3,344.8,0.441
T10961_1,236.0,-0.095
L322_3,21.1,0.143
T3215_1,39.3,0.185
T10834_2,298.9,0.074
T10944_2,330.0,0.172
T3226_1,63.3,0.374
T10877_1,177.7,-0.103
T10877_2,265.9,-0.014
T15491_1,347.4,0.235
T10969_2,288.9,0.14
AC319_3,284.2,0.062
AC467_3,209.5,-0.08
T10961_2,229.7,-0.175
T10871_2,270.3,0.001
T10871_1,14.9,0.128
AC462_3,289.2,0.056
AC350_5,192.9,-0.9
AC457_2,6.3,0.763
T14678_2,306.9,0.109
AC283_1,15.3,0.707
AC458_3,332.5,0.136
T10915_2,234.4,-0.24
T10928_1,353.2,0.151
AC357_1,6.1,0.252
T10921_2,232.4,-0.063
AC317_3,293.7,0.104
T10911_2,273.7,0.022
T10911_1,72.0,0.138
T3215_2,228.5,-0.159
T10885_2,276.0,0.032
T10839_2,12.3,0.109
T3193_2,357.1,0.586
T10891_2,242.7,-0.329
T10940_2,244.3,-0.188
T10940_1,359.0,0.121
T10674_1,21.5,0.797
T14673_1,40.6,0.443
T3222_2,213.5,-0.6
T10855_2,324.2,0.086
T10898_1,311.9,0.118
L322_2,7.6,0.084
T10885_1,215.7,-0.178
T10918_1,29.5,0.509
T11005_1,308.0,0.066
AC466_3,254.2,-0.022
T11042_2,99.4,-0.047
L322_1,352.6,0.339
T11009_2,285.2,0.029
T10955_2,258.7,-0.024
T10909_1,8.6,0.755
T10971_2,17.2,0.439
T10855_1,41.8,0.386
T10966_2,295.1,0.108
T10881_2,295.6,0.105
T3204_1,338.0,0.314
T10898_2,263.5,-0.028
T10915_1,220.7,-0.484
T10942_2,6.8,0.834
T11085_1,15.9,0.192
L323_5,191.0,-0.08
T11026_2,341.1,0.071
AC353_3,300.9,0.08
T3236_1,338.1,0.551
T3236_2,280.3,0.025
AC458_2,153.8,-0.106
L322_4,223.7,-0.112
T10962_1,355.0,0.725
T10962_2,345.8,0.694
T11005_2,220.9,-0.106
AC457_3,240.7,-0.114
AC353_5,199.3,-0.905
L321_3,355.2,0.373
T10928_2,247.2,-0.067
T3209_2,4.4,0.799
T14673_2,345.3,0.527
T10983_1,112.0,-0.086
T3218_2,337.1,0.514
T10759_1,37.5,0.449
T10983_2,242.5,-0.127
AC456_3,308.6,0.515
AC457_1,326.5,0.092
T10972_1,255.3,-0.028
T11016_2,323.0,0.196
T3218_3,308.0,0.262
AC459_1,191.8,-0.073
T10955_1,223.1,-0.027
T17886_1,180.4,-0.246
L323_3,331.6,0.011
T14678_1,148.2,-0.106
T10968_1,286.8,0.117
AC275_3,307.2,0.099
T3218_1,32.2,0.314
AC464_4,269.2,-0.001
T11096_2,17.5,0.234
T11032_1,13.0,0.308
AC355_2,259.3,-0.032
T3242_2,223.4,-0.573
T11078_2,238.5,-0.437
T11009_1,210.2,-0.081
T10995_2,18.3,0.834
AC275_7,321.3,0.182
T10971_1,75.9,0.147
T10976_2,335.8,0.115
T16961_2,285.7,0.049
T10864_1,22.5,0.193
T10945_1,12.5,0.153
AC299_1,61.3,0.082
T11070_1,104.5,-0.12
T11070_2,64.0,0.135
T3222_1,211.1,-0.608
T16975_2,294.9,0.253
T10946_1,312.5,0.528
AC299_2,187.3,-0.265
T16961_1,296.1,0.025
T17518_2,292.0,0.032
T3202_1,315.1,0.072
T3242_1,211.4,-0.734
AC299_3,246.7,-0.3
T3230_2,25.7,0.753
T3238_1,352.4,0.103
T11087_2,279.3,0.029
T3244_2,294.5,0.099
T11087_1,316.1,0.274
AC297_3,264.3,-0.099
T10902_1,24.1,0.197
T3238_2,219.0,-0.193
T10902_2,307.3,0.093
T10968_2,289.7,0.175
T15490_1,209.8,-0.63
T11034_2,285.8,0.077
T11015_1,148.4,-0.598
T10979_2,7.8,0.507
T10864_2,243.7,-0.148
T10981_1,12.0,0.716
T10981_2,339.3,0.669
L323_2,230.0,-0.031
T11034_1,190.4,-0.088
AC319_4,152.5,-0.767
T3214_2,18.4,0.705
AC462_4,338.1,0.041
T3230_1,45.1,0.588
T11078_1,211.1,-0.651
T3202_2,233.6,-0.045
L324_3,316.6,0.098
AC464_3,286.0,0.039
T10946_2,307.7,0.45
T3245_2,244.7,-0.219
L326_1,26.4,0.093
T10937_2,282.2,0.059
T10937_1,68.4,0.062
T10953_2,287.8,0.061
T10919_1,347.2,0.185
L324_2,44.6,0.072
T10986_2,20.7,0.46
T3245_1,237.8,-0.237
T15491_2,177.1,-0.653
AC357_2,294.8,0.101
T3193_1,113.6,-0.262
T11085_2,46.4,0.293
T10959_2,292.0,0.13
T3248_1,352.9,0.48
T3248_2,327.3,0.195
T11043_1,91.4,-0.002
L325_3,320.4,0.089
T11015_2,167.0,-0.332
T10976_1,252.0,-0.015
T10759_2,6.4,0.466
T10979_1,194.3,-0.407
T11109_2,333.4,0.487
T15493_1,24.3,0.699
L325_1,172.9,-0.141
T10942_1,16.2,0.555
T10953_1,56.8,0.156
AC317_1,151.5,-0.566
T10945_2,242.9,-0.155
T3204_2,271.6,0.011
T11109_1,95.9,-0.062
T10909_2,322.3,0.132
T10954_2,230.0,-0.501
T10980_1,317.5,0.496
T10977_2,276.8,0.006
T10958_2,31.6,0.704
T17518_1,348.7,0.091
T10986_1,216.0,-0.481
AC353_2,225.0,-0.646
T15377_1,18.3,0.813
T3246_2,336.1,0.642
AC458_1,198.6,-0.104
L326_4,335.3,0.232
T10959_1,268.1,-0.008
T11006_1,286.7,0.146
T15377_2,320.1,0.571
T10977_1,176.7,-0.085
T11058_1,308.0,0.132
L326_2,202.9,-0.037
T10982_2,306.6,0.037
T10982_1,26.7,0.018
T3228_1,353.2,0.238
T17005_2,295.4,0.211
T17005_1,48.9,0.489
T10947_1,19.2,0.36
T11043_2,216.1,-0.219
T10954_1,218.1,-0.625
T10919_2,311.0,0.104
T11081_2,58.9,0.038
T11081_1,25.4,0.035
T3262_2,319.0,0.155
T10995_1,23.1,0.525
T10930_1,5.4,0.19
T3213_2,358.5,0.709
T3228_2,293.7,0.137
T10973_1,295.6,0.126
T16975_1,156.5,-0.704
T3209_1,140.4,-0.58
T10997_1,38.9,0.524
T16973_2,309.8,0.375
T15382_2,327.3,0.733
T10920_1,352.1,0.758
T3274_1,11.1,0.546
T10958_1,22.0,0.816
AC283_3,262.5,-0.021
AC355_3,219.7,-0.669
T10973_2,269.9,-0.0
T10947_2,270.5,0.007
AC279_2,270.8,0.002
T3244_1,213.7,-0.061
T10901_2,333.8,0.12
T16734_1,73.4,0.081
T16734_2,316.2,0.157
T11091_2,358.6,0.544
T11016_1,227.6,-0.079
T11000_2,323.4,0.1
AC454_2,41.1,0.581
T16974_2,329.9,0.518
AC311_1,351.3,0.194
T3274_2,178.6,-0.838
L324_1,168.8,-0.047
T11096_1,147.5,-0.125
T10993_2,228.8,-0.374
T10993_1,36.9,0.221
T3262_1,130.4,-0.097
AC454_1,53.0,0.55
T10920_2,347.1,0.75
T16973_1,155.1,-0.665
T15382_1,18.3,0.371
T11002_1,206.2,-0.056
AC453_3,324.5,0.067
T11000_1,238.7,-0.025
T10930_2,205.6,-0.115
T3246_1,26.7,0.651
AC451_2,332.9,0.317
AC464_2,223.1,-0.042
T11002_2,294.2,0.034
AC273_3,313.3,0.209
T16953_1,15.4,0.213
T16948_2,310.9,0.213
T3225_2,262.7,-0.027
T16950_2,336.0,0.441
T3225_1,40.9,0.443
T16953_2,228.2,-0.293
T16733_1,115.8,-0.286
T16733_2,294.3,0.214
T15493_2,208.1,-0.509
T16951_1,28.7,0.344
T11008_1,334.3,0.083
AC441_3,328.4,0.572
T11010_2,343.1,0.163
T11004_1,310.3,0.114
T16952_1,344.7,0.268
T10990_2,6.3,0.434
T10990_1,84.5,0.054
L327_2,177.3,-0.158
AC441_4,156.9,-0.163
AC311_2,294.7,0.125
T10901_1,38.0,0.118
L326_3,237.8,-0.011
T3214_1,144.5,-0.667
T11052_1,13.1,0.394
T11006_2,244.1,-0.199
T16951_2,230.7,-0.256
AC454_3,245.9,-0.074
T11077_1,37.7,0.496
T16952_2,204.3,-0.373
T11077_2,351.6,0.528
AC453_2,163.6,-0.401
T16948_1,146.1,-0.168
AC454_4,268.1,-0.019
T16950_1,183.1,-0.403
AC441_2,39.9,0.257
T10980_2,349.8,0.328
T11025_2,312.8,0.24
T11147_2,21.8,0.743
T11024_2,285.6,0.068
T11024_1,141.4,-0.207
AC277_1,131.4,-0.459
AC441_1,63.7,0.224
T11004_2,231.6,-0.127
T3275_2,308.3,0.2
AC271_3,299.7,0.108
AC269_2,335.7,0.224
T11019_1,309.7,0.125
T16974_1,201.8,-0.501
T11052_2,285.0,0.15
AC357_3,209.1,-0.754
T3257_1,95.6,-0.02
T11039_2,24.6,0.207
T11038_1,327.8,0.366
T11036_2,277.0,0.074
T11036_1,162.0,-0.094
L328_2,107.0,-0.007
T11102_2,167.5,-0.197
T3257_2,239.0,-0.205
T11008_2,203.5,-0.114
AC453_1,163.6,-0.323
AC311_3,199.5,-0.26
L325_2,209.0,-0.115
T3213_1,151.7,-0.815
T11010_1,190.8,-0.137
T11019_2,221.0,-0.17
T11084_2,233.7,-0.404
AC313_1,29.4,0.358
AC315_4,290.7,0.136
T16954_1,332.9,0.092
AC297_4,277.5,0.091
T3232_1,110.5,-0.125
T11102_1,235.7,-0.169
T11001_2,0.6,0.283
T11025_1,205.0,-0.361
T11091_1,80.9,0.069
T3224_1,355.6,0.496
T16949_2,347.7,0.223
AC456_4,301.5,0.137
T15488_1,4.6,0.174
L328_3,293.0,0.207
T11097_2,353.7,0.673
T11058_2,223.4,-0.066
T15488_2,247.1,-0.279
AC455_1,20.3,0.285
T11159_1,105.0,-0.097
T11097_1,41.8,0.416
AC277_3,236.1,-0.107
T11084_1,169.2,-0.642
T3275_1,129.3,-0.23
T11041_2,270.3,0.002
T3232_2,31.3,0.465
T11051_2,285.7,0.056
AC455_5,231.5,-0.322
AC468_1,54.8,0.047
T16972_2,326.7,0.69
T11051_1,138.4,-0.275
T11060_2,327.5,0.175
L327_1,55.9,0.085
T11151_2,358.0,0.549
T11151_1,60.3,0.308
AC279_1,189.4,-0.566
T11049_2,29.3,0.739
T11039_1,108.4,-0.189
T10997_2,139.9,-0.32
T11057_2,291.4,0.066
AC295_4,2.1,0.441
T10975_1,12.8,0.711
T11057_1,150.5,-0.392
AC297_2,194.1,-0.202
T16972_1,193.5,-0.247
AC283_2,158.3,-0.704
T17884_2,305.6,0.188
AC295_1,137.4,-0.714
T3162_1,32.6,0.316
T15489_2,275.5,0.048
T11182_1,36.8,0.509
T15489_1,46.8,0.521
T11029_1,7.9,0.366
T10989_2,270.8,0.011
T11115_2,316.2,0.439
T10863_1,327.0,0.52
T11060_1,194.5,-0.243
T10989_1,14.1,0.328
T11115_1,356.0,0.317
T16954_2,222.8,-0.452
T11147_1,64.0,0.169
T11001_1,114.7,-0.258
AC468_2,12.1,0.122
T11050_2,274.0,0.014
T11018_1,316.7,0.064
AC313_2,338.5,0.245
AC285_1,29.9,0.705
T11038_2,310.8,0.251
T3224_2,207.4,-0.19
T11110_1,315.8,0.268
AC315_3,235.6,-0.124
T11179_1,321.9,0.093
T11055_1,324.4,0.109
AC275_1,111.7,-0.156
AC432_5,297.8,0.146
T11044_2,298.6,0.085
T3251_2,14.1,0.224
AC313_3,217.1,-0.359
T11037_1,355.1,0.842
T3210_1,359.4,0.755
AC469_4,236.4,-0.518
T11189_2,263.3,-0.058
T11037_2,358.6,0.769
T10905_2,315.0,0.206
AC301_3,5.4,0.281
T15485_2,325.5,0.542
AC468_3,293.4,0.045
T10905_1,48.6,0.116
T11067_1,0.5,0.477
T11030_2,310.0,0.05
AC443_1,8.8,0.471
T15486_1,354.1,0.622
T11044_1,68.8,0.025
AC456_2,258.6,-0.031
T3162_2,353.4,0.306
AC295_3,239.8,-0.093
T11033_2,250.2,-0.058
AC444_2,354.8,0.272
AC455_3,245.3,-0.099
T11033_1,346.2,0.165
AC455_4,238.8,-0.234
T17004_2,290.9,0.116
T17004_1,38.7,0.375
T10924_2,34.3,0.629
T10924_1,30.6,0.563
T11047_1,7.2,0.443
T11157_1,106.2,-0.217
T11157_2,27.4,0.462
T11068_1,358.3,0.415
T10988_2,350.9,0.316
T10988_1,343.8,0.301
T11054_1,357.4,0.161
AC448_3,333.5,0.15
AC297_1,142.4,-0.358
T11022_2,24.9,0.435
T17010_2,346.1,0.87
T15487_1,343.4,0.607
T11020_2,355.6,0.136
T11159_2,168.0,-0.1
T11080_2,336.1,0.55
T11067_2,188.6,-0.694
T17003_2,334.3,0.662
T11040_1,355.5,0.468
T17002_1,357.3,0.164
AC295_2,157.4,-0.735
T17002_2,257.7,-0.102
AC277_2,218.0,-0.144
T17003_1,175.8,-0.574
T11068_2,214.6,-0.273
T11133_2,342.2,0.424
T11013_1,16.5,0.199
T11013_2,286.7,0.056
T11133_1,12.7,0.171
T10998_1,5.8,0.669
T10998_2,286.6,0.087
L329_2,61.8,0.102
L330_2,159.3,-0.015
T3221_2,9.8,0.678
T3221_1,16.4,0.77
T11040_2,253.8,-0.139
T17010_1,194.1,-0.709
T11182_2,175.8,-0.562
T11054_2,269.2,-0.002
T3251_1,227.0,-0.191
L333_4,238.0,-0.22
T11018_2,213.9,-0.116
T11116_1,8.4,0.541
T3252_1,320.9,0.115
T11119_1,306.0,0.322
T11174_1,206.8,-0.063
T11119_2,276.2,0.078
L328_1,37.1,0.456
T11174_2,295.9,0.205
T11093_1,333.0,0.675
L329_1,243.9,-0.03
T3144_1,46.6,0.335
T3235_2,4.2,0.461
AC449_1,21.1,0.287
T15443_2,238.0,-0.363
T11045_1,19.9,0.754
T11066_1,316.6,0.639
T3212_2,332.2,0.742
T15486_2,173.6,-0.65
T3235_1,57.4,0.253
T17001_2,300.1,0.164
AC455_2,170.3,-0.414
T3155_1,80.5,0.012
T3155_2,330.9,0.058
AC277_6,144.9,-0.11
T11049_1,137.7,-0.505
AC273_1,257.6,-0.039
T11082_2,289.8,0.051
AC411_1,346.8,0.642
T16983_2,249.8,-0.147
T11012_1,347.0,0.479
AC411_2,339.2,0.58
T17907_1,0.5,0.554
T10991_2,344.2,0.224
T15376_1,3.9,0.517
T11012_2,272.5,0.014
T11080_1,166.9,-0.333
T10991_1,15.9,0.227
T16983_1,175.2,-0.239
T15381_2,328.2,0.372
T15376_2,307.0,0.27
T11035_1,25.2,0.11
T16949_1,194.3,-0.19
AC445_1,354.7,0.153
T11079_1,182.7,-0.295
T11022_1,82.1,0.065
AC448_4,88.7,0.001
T3289_2,359.6,0.215
AC269_3,257.0,-0.034
L331_1,296.6,0.046
T17884_1,141.8,-0.143
AC277_5,222.0,-0.216
T11045_2,355.1,0.697
T11055_2,179.9,-0.373
AC301_1,307.7,0.1
T11191_2,328.3,0.275
T3326_1,270.8,0.005
T3326_2,341.3,0.183
AC444_1,215.9,-0.08
AC275_6,283.6,0.098
T11130_2,300.2,0.351
T15381_1,193.9,-0.479
AC452_5,233.1,-0.192
T11069_2,104.1,-0.033
T15383_1,27.3,0.557
T3210_2,112.7,-0.291
T15383_2,224.9,-0.436
AC445_4,257.3,-0.008
T3212_1,68.2,0.288
T11082_1,214.6,-0.125
T3285_2,336.5,0.555
T11041_1,124.7,-0.277
T3283_2,286.5,0.114
T3283_1,37.6,0.179
AC256_3,247.6,-0.133
AC359_2,345.1,0.281
T11090_2,293.4,0.183
L332_3,340.1,0.424
T10956_2,293.0,0.035
T10956_1,314.2,0.077
L332_2,359.7,0.013
T11195_1,121.1,-0.402
T11071_2,331.9,0.132
T11195_2,338.2,0.461
T15499_1,39.1,0.387
T11093_2,307.6,0.443
AC389_5,329.3,0.2
AC367_3,305.9,0.159
AC271_2,273.7,0.012
T17001_1,211.4,-0.54
T10764_1,0.8,0.635
AC285_2,298.4,0.077
T11050_1,210.4,-0.459
T10975_2,258.8,-0.061
T11101_2,296.9,0.095
AC273_2,281.0,0.039
T3243_2,26.3,0.662
T3243_1,13.3,0.805
T15499_2,239.5,-0.163
T11101_1,28.3,0.174
AC389_1,347.1,0.213
T10863_2,301.1,0.318
T11029_2,241.5,-0.421
T3177_2,338.0,0.193
T11090_1,147.4,-0.249
T3177_1,3.7,0.133
T3285_1,164.4,-0.437
AC451_4,356.0,0.106
AC309_3,305.8,0.345
AC431_2,216.0,-0.148
T11192_2,290.4,0.101
T11192_1,18.8,0.406
T11047_2,217.2,-0.657
T3294_1,357.6,0.373
T10949_1,20.1,0.276
T3231_2,340.1,0.054
AC452_1,15.3,0.143
T3253_1,56.2,0.117
T11069_1,120.9,-0.434
T11056_1,122.9,-0.37
AC469_1,8.7,0.08
AC293_3,329.3,0.447
AC275_5,160.1,-0.631
T11139_2,25.2,0.538
T10960_2,286.5,0.15
T11094_1,186.1,-0.145
T10960_1,310.9,0.414
T3263_2,28.1,0.68
T3250_1,9.0,0.729
T3263_1,42.2,0.623
T11083_1,342.0,0.164
AC309_1,156.6,-0.429
T11071_1,224.3,-0.086
T10994_2,276.5,0.017
AC411_5,332.4,0.299
AC309_2,229.9,-0.121
T11127_2,21.4,0.534
T11110_2,239.2,-0.063
T11127_1,49.5,0.289
T10974_1,1.3,0.183
T11165_2,24.9,0.759
T11100_1,344.2,0.671
AC432_6,242.2,-0.037
T17908_2,344.7,0.207
T10970_1,10.0,0.142
AC307_1,113.5,-0.395
T11219_2,310.2,0.27
T10970_2,288.2,0.101
T11219_1,136.5,-0.314
T17906_1,5.4,0.317
L333_1,21.9,0.447
L333_3,190.4,-0.031
T3253_2,331.2,0.258
T15485_1,192.6,-0.407
L330_1,343.1,0.055
T3231_1,102.0,-0.174
T11211_2,358.1,0.699
T11146_1,45.6,0.436
T11056_2,129.6,-0.39
AC315_2,148.2,-0.641
T11188_1,123.0,-0.165
T11075_1,359.2,0.46
T11053_2,347.5,0.522
AC291_3,15.9,0.622
T11094_2,277.6,0.072
T11116_2,286.0,0.066
T11179_2,304.2,0.06
T10994_1,14.7,0.153
T3256_2,335.4,0.671
T3295_1,37.1,0.356
T11223_1,92.6,-0.007
T11189_1,228.2,-0.447
T11083_2,304.7,0.101
T15291_1,52.6,0.38
T3144_2,354.5,0.364
T11066_2,275.3,0.06
T11150_1,176.2,-0.204
T11150_2,269.3,-0.001
AC289_3,323.4,0.494
T11061_1,356.2,0.679
AC469_2,26.5,0.239
T3295_2,237.9,-0.21
T11030_1,197.8,-0.646
T11020_1,244.3,-0.022
T15484_1,353.0,0.48
T11139_1,76.9,0.102
T16996_1,351.2,0.32
T11075_2,315.9,0.268
T11183_1,81.0,0.091
T11061_2,319.8,0.217
T11218_2,7.0,0.655
T11059_2,282.0,0.012
T11183_2,28.7,0.358
T11059_1,347.6,0.106
T17885_2,279.2,0.031
T17885_1,24.3,0.375
T11144_2,134.2,-0.476
AC456_1,152.8,-0.47
AC293_2,248.4,-0.082
T11220_1,345.7,0.198
T11144_1,86.7,0.046
T11211_1,54.3,0.401
AC271_1,261.5,-0.025
T3256_1,169.7,-0.59
AC289_4,183.3,-0.814
AC452_4,212.7,-0.295
T11063_1,310.9,0.091
T10943_2,280.7,0.014
T11169_1,97.6,-0.034
T11111_1,35.9,0.571
T10764_2,302.4,0.307
T11086_1,196.5,-0.714
AC291_1,178.8,-0.988
T11111_2,209.9,-0.402
AC275_4,264.4,-0.017
T11086_2,217.9,-0.618
T15487_2,217.0,-0.525
AC469_3,250.7,-0.062
T11169_2,300.6,0.076
T11132_2,310.3,0.202
T11113_1,259.7,-0.029
AC463_1,354.6,0.156
T17907_2,191.0,-0.305
AC256_1,31.2,0.257
AC452_3,318.9,0.086
T11130_1,279.6,0.117
T15443_1,192.8,-0.737
T16996_2,240.1,-0.241
AC359_1,279.7,0.034
AC452_2,225.6,-0.603
T11207_1,44.2,0.228
T11103_1,45.5,0.539
T11100_2,239.7,-0.074
T11103_2,14.7,0.653
T11148_2,293.9,0.338
T11148_1,41.9,0.309
T17904_2,281.2,0.077
T3255_1,49.9,0.458
T11108_1,338.0,0.272
T3254_2,27.7,0.446
T11098_2,20.9,0.192
T11098_1,44.9,0.093
T11234_2,15.9,0.05
T3264_1,307.3,0.393
AC449_4,306.3,0.119
T11207_2,331.5,0.339
T3252_2,230.8,-0.152
AC449_2,285.9,0.03
T3282_2,25.8,0.661
T11074_1,26.0,0.416
AC496_3,314.7,0.55
T10949_2,4.3,0.336
AC442_1,74.2,0.177
L331_2,93.9,-0.001
T11191_1,164.7,-0.018
T11035_2,137.5,-0.075
AC301_2,222.3,-0.288
T11214_2,77.0,0.09
T11158_2,320.4,0.394
T10904_1,36.4,0.061
T11214_1,77.7,0.099
T11218_1,111.5,-0.199
T11251_1,45.8,0.242
T10904_2,284.0,0.026
AC431_3,272.6,0.011
T16970_1,274.4,0.024
T11123_2,256.0,-0.037
T17673_2,280.4,0.058
T17673_1,32.4,0.257
T16982_2,245.0,-0.106
AC291_2,246.7,-0.117
T15500_2,334.3,0.342
T11031_1,3.9,0.082
AC485_1,310.1,0.434
T11222_1,134.7,-0.377
T11089_1,336.2,0.104
T11126_1,352.2,0.168
T15502_2,345.1,0.591
T11146_2,8.8,0.483
T3154_2,305.2,0.07
T11244_1,219.4,-0.634
L335_3,339.3,0.42
L334_2,271.7,0.004
T3289_1,218.6,-0.066
AC463_2,310.9,0.11
T11053_1,96.5,-0.049
L334_1,310.0,0.232
T11122_1,133.2,-0.243
T11137_1,315.6,0.332
AC451_5,186.8,-0.808
AC289_2,281.1,0.052
T11132_1,163.2,-0.398
AC287_2,1.3,0.568
AC263_4,342.6,0.089
AC451_3,241.2,-0.051
AC470_4,325.0,0.179
T11264_1,167.1,-0.464
T11120_2,2.7,0.677
T3254_1,65.1,0.169
T11031_2,266.1,-0.004
T11099_1,39.1,0.132
T15291_2,214.2,-0.622
AC450_1,343.2,0.077
T11099_2,239.8,-0.203
AC474_1,329.5,0.211
T16970_2,195.7,-0.548
T15503_2,326.6,0.337
AC496_2,143.7,-0.118
T11161_2,27.7,0.477
T3273_2,13.6,0.64
L337_3,22.4,0.541
T3273_1,129.8,-0.137
AC285_3,225.6,-0.454
T17000_2,284.6,0.108
T17000_1,359.2,0.545
AC496_1,141.7,-0.395
T11186_2,245.8,-0.044
T11124_2,301.0,0.122
AC428_3,244.2,-0.041
T11126_2,135.6,-0.239
T11225_2,204.6,-0.379
T11158_1,162.0,-0.717
AC263_1,39.0,0.486
T11222_2,165.4,-0.709
T11247_1,345.6,0.453
T11122_2,277.9,0.083
AC359_3,211.7,-0.598
L332_1,298.5,0.024
T3294_2,230.5,-0.072
T3258_1,122.0,-0.237
